862 124	Yan Zhang
4828 435	Takeo Kanade
6429 444	Hong Zhang
10013 554	Longzhuang Li
7729 560	Xin Liu
380 643	Paul R. Schrater
3808 714	Jens Gregor
7246 748	Xiang Zhang
1663 766	Chew Lim Tan
10037 798	Steven Feiner
4054 871	Stefano Lonardi
2280 934	Thomas S. Huang
4019 958	Stan Sclaroff
3114 959	Benjamin Bustos
3047 960	Daniel A. Keim
6828 1041	Tony F. Chan
468 1102	Yi Liu
3526 1116	Darrell D. E. Long
9443 1217	Hanan Samet
867 1225	Min Chen
4569 1245	Alex Pentland
1105 1256	Wei Zhang
7417 1300	Li Zhang
2163 1314	Gang Li
8809 1321	Leonard McMillan
3832 1333	Kevin W. Bowyer
4941 1342	Christopher G. Healey
8669 1352	Abhinav Gupta
4430 1475	David Page
566 1481	Frank Dellaert
8810 1558	Guodong Liu
6198 1582	Rey-Long Liu
1373 1705	Young-Koo Lee
5794 1829	Ming Li
2943 1842	Gang Xu
4893 1843	Wei Xu
4509 1975	David L. Dowe
2709 2023	Quan Z. Sheng
6566 2038	Ickjai Lee
513 2048	Tokuro Matsuo
6607 2078	Ruimin Shen
3988 2096	Yanchun Zhang
3392 2098	Yong Shi
6994 2219	J¨²lio C. Nievola
9496 2243	Joonho Kwon
9497 2245	Sukho Lee
120 2290	Wei Li
8210 2345	Yansheng Lu
5288 2374	Ryutaro Ichise
5371 2418	Peter P. Chen
3040 2478	Zhen Zhang
10016 2499	In-Young Ko
4268 2500	Lei Wang
1512 2525	Joachim Hammer
9852 2531	Phuong Nguyen
1485 2588	Tao Li
5443 2691	Brian Logan
5295 2767	Takuichi Nishimura
4577 2836	Irwin King
5495 2898	Hiroshi Mizoguchi
6541 2948	Ling Chen
4243 3043	Hiroshi Yasuda
8940 3108	Feng Tian
5759 3210	Ke Xu
1545 3255	Ah-Hwee Tan
1404 3293	Katsumi Tanaka
10000 3493	James A. Landay
10054 3628	Carl Gutwin
5622 3673	Roger C. Schank
1763 3675	Ben Shneiderman
10001 3711	Jason I. Hong
9471 3720	Roger King
423 3895	Illah R. Nourbakhsh
4506 4018	Thorsten Joachims
7651 4112	Daniel C. Robbins
9917 4130	Matt Jones
9918 4133	George Buchanan
1652 4137	Mounia Lalmas
3119 4195	Wei Jiang
1302 4225	Nick Cercone
901 4239	Abdur Chowdhury
2013 4254	Josiane Mothe
1236 4276	David M. Pennock
1806 4279	Bin Wang
1979 4281	Shamkant B. Navathe
7892 4313	Raymond Y. K. Lau
544 4319	Dongmo Zhang
5013 4327	Guido Boella
5014 4328	Leendert W. N. van der Torre
2782 4386	Ying Chen
6608 4394	Peng Han
1927 4405	Thomas R. Ioerger
3971 4456	Qi Li
200 4472	Vincent Conitzer
116 4473	Tuomas Sandholm
381 4480	Maria L. Gini
1738 4487	Raymond K. Wong
855 4489	James T. Kwok
576 4516	David C. Parkes
4778 4560	David Pardoe
427 4561	Peter Stone
2244 4562	Maytal Saar-Tsechansky
4956 4588	Stuart M. Shieber
424 4595	Katia P. Sycara
10049 4606	Rudi Studer
8822 4663	Yan Chen
1466 4676	Jun Xu
4435 4678	Shuchi Chawla
237 4681	Timothy W. Finin
277 4682	Anupam Joshi
3547 4701	Takahira Yamaguchi
471 4730	Yongmei Liu
10170 4746	Georg Lausen
8502 4801	Xiaoling Wang
2789 4802	Li Chen
5702 4823	Thomas Tran
5799 4839	Youyong Zou
235 4840	Li Ding
5800 4841	Harry Chen
278 4842	Rong Pan
804 4856	Bart Selman
8981 4865	Louiqa Raschid
4105 4872	Jaideep Srivastava
5788 4922	Feng Zhao
366 4927	Yoav Shoham
7420 4934	Peter van der Putten
7156 4942	Mohammad Mahdian
1151 4968	Panagiotis G. Ipeirotis
10042 4998	Rajan M. Lukose
3846 5014	Ying Lu
4123 5039	Foster J. Provost
2245 5040	Prem Melville
5783 5048	Jie Zhang
5703 5049	Robin Cohen
1674 5086	Wagner Meira Jr.
9783 5128	Thodoros Topaloglou
1486 5163	Mitsunori Ogihara
7304 5173	Parry Husbands
9344 5213	Gregory Buehrer
9345 5214	Yen-Kuang Chen
3790 5215	Srinivasan Parthasarathy
9346 5216	Anthony Nguyen
3791 5217	Amol Ghoting
9347 5218	Daehyun Kim
1061 5268	Chung-Min Chen
2565 5269	Naphtali Rishe
1233 5282	Juan E. Gilbert
5372 5520	Jianhua Chen
148 5577	Miroslaw Truszczynski
5413 5586	Andrew Lim
1437 5619	Shuang Liu
9017 5667	Kwai Wong
1823 5709	Qiaozhu Mei
530 5795	B. John Oommen
1272 5798	Tao Tao
6120 5907	Jungsoon P. Yoo
10062 5928	Christopher Williams
6002 5985	Xin Zheng
1196 6075	Xiaoyan Yu
6708 6107	Yixin Chen
1983 6127	Jyh-haw Yeh
6382 6143	Morgan C. Wang
2529 6207	Jun Zhang
571 6274	Lei Li
6449 6295	Li Yang
10153 6330	Lei Zhang
3954 6400	Kien A. Hua
1961 6461	Catharine M. Wyss
7290 6565	Shuting Xu
6779 6613	Xin Xu
4227 6805	Ching-Chi Hsu
3643 6816	Dan A. Simovici
1884 6890	Maria Zemankova
2717 6975	Carl-Christian Kanne
2718 6976	Guido Moerkotte
2596 6982	Serge Abiteboul
8349 6983	Bogdan Cautis
7110 6985	Tova Milo
207 7041	Walter Binder
123 7046	Stefano Bistarelli
5557 7274	Marco Pistore
1621 7277	Wei Wang
3397 7366	Markus Schneider
2451 7452	Bhavani M. Thuraisingham
1696 7514	Fred Douglis
6850 7562	Zhanhuai Li
931 7569	Paolo Giorgini
5784 7632	Ali A. Ghorbani
1434 7652	Bin Liu
888 7731	Elisa Bertino
1608 7739	Evangelos E. Milios
3224 7757	Thomas J. E. Schwarz
4897 7777	Bo Zhang
3826 7871	Qi Wang
7300 7907	Rattikorn Hewett
3198 7951	Xiaolei Li
2504 7956	Milan Petkovic
3441 7975	John Mylopoulos
957 8001	Xin Chen
4984 8042	Salem Benferhat
8288 8166	Xi Chen
6720 8242	Yu Qian
6721 8243	Kang Zhang
9677 8297	Uwe R?hm
7959 8301	David Hart
6725 8320	Wei Lai
6353 8394	Jie Tang
6797 8395	Fuyan Zhang
3125 8746	Hui Jin
78 8754	Bing Liu
4272 8756	Baile Shi
4069 8760	Jian Liu
1664 8788	Dong-Hong Ji
3939 8874	Don-Lin Yang
2778 8875	Jun Chen
3752 8912	Wei Ding
3237 8928	Ge Yu
6632 8944	Haofeng Zhou
8575 8946	Jianwen Su
6504 8966	Jianzhong Li
6513 8996	Xiaorong Li
1461 9000	Yan Liu
6856 9009	Shuigeng Zhou
3231 9024	Lei Liu
6814 9034	Xin Wang
4284 9055	Hui Zhang
1527 9071	Peng Liu
10165 9090	Jian Yin
3227 9091	Zhenyu Liu
1492 9096	Ning Liu
4222 9098	Hongwei Zhang
1807 9109	Xueqi Cheng
6609 9222	Fan Yang
4273 9224	Peng Wang
8306 9239	Yue Pan
1330 9252	Aoying Zhou
6454 9284	Jinyuan You
4260 9285	Hui Wang
9798 9309	Hongzhi Wang
9771 9391	Xiaokui Xiao
9006 9394	Qing Wang
1711 9420	Hao Huang
4148 9426	Ying Sai
4092 9465	Ying Li
1074 9485	Ling Liu
856 9490	Zhihua Zhang
2541 9503	Fengli Zhang
6845 9518	Ying Zhang
7074 9521	Jun Guo
4061 9522	Shiwei Tang
4062 9523	Dongqing Yang
2164 9560	Honghua Dai
9398 9590	Yuan Wang
6464 9605	Jing Zhou
8773 9659	Sang Ho Lee
6682 9705	Bin Tang
2794 9784	Meichun Hsu
4349 9791	Yi Zhang
3480 9794	Yi Li
3640 9873	Keith C. C. Chan
1879 9915	Gang Wang
7978 9968	Yue Lu
1438 10003	Fang Liu
6705 10005	Jing Liu
8990 10140	Ling Wang
6734 10195	Tengjiao Wang
6202 10220	Junqiang Liu
7666 10227	Noriko Kando
4884 10299	Tong Zhang
4149 10431	Yiyu Yao
3641 10450	Wai-Ho Au
4255 10465	Helge Ritter
3159 10496	Ken Barker
3573 10497	Reda Alhajj
7703 10505	Jian Zhang
8538 10601	Song Wang
6109 10619	Xin Jin
4269 10655	Licheng Jiao
10154 10698	Jian Zhou
3814 10702	Dayou Liu
6172 10714	Yifan Li
6851 10735	Yan Tang
3548 10751	Hidenao Abe
3549 10752	Shusaku Tsumoto
3550 10753	Miho Ohsaki
9996 10807	Andrew Hogue
3874 10851	Shoji Hirano
3753 10934	Ping Chen
5416 10945	Wang Ying
7075 10978	Gang Liu
7539 11175	Pedro Cano
3351 11216	Menzo Windhouwer
6330 11237	Belle L. Tseng
6331 11238	Ching-Yung Lin
9593 11239	John R. Smith
8257 11298	Mohan S. Kankanhalli
8005 11332	David S. Doermann
2142 11354	Ingemar J. Cox
9028 11379	Mahmut T. Kandemir
6105 11407	Gagan Agrawal
6301 11415	David R. Kaeli
6289 11446	Manish Gupta
1276 11454	Jun Yang
5888 11530	David A. Padua
5600 11532	Sanjeev Kumar
8368 11689	Amy Wang
9029 11761	Narayanan Vijaykrishnan
9030 11762	Mary Jane Irwin
2628 11763	Anand Sivasubramaniam
9062 11917	Mark D. Hill
7912 11964	Arnold L. Rosenberg
2775 11981	Anastassia Ailamaki
5763 11984	Roland H. C. Yap
9261 12129	J. Gregory Steffan
8344 12184	Asaf Adi
1100 12199	Shahram Ghandeharizadeh
2780 12269	Michael J. Carey
6928 12280	Jianhua Yang
5901 12308	Vasa Curcin
1808 12309	Moustafa Ghanem
5902 12310	Yike Guo
5903 12311	Anthony Rowe
8266 12316	Chenxi Lin
479 12317	Yong Yu
10155 12318	Yin Yang
3191 12349	Wei Han
1593 12350	Calton Pu
2802 12351	James Caverlee
1026 12353	Terence Critchlow
2803 12355	David Buttler
8354 12361	Jun Fang
1851 12403	Munindar P. Singh
10128 12406	Swaminathan Sivasubramanian
9201 12442	Daniela Grigori
2933 12509	Richard Hull
5289 12526	Shinichi Honiden
6410 12530	Shubir Kapoor
8511 12539	Frederick Reiss
9946 12540	Tapas Kanungo
10129 12559	Guillaume Pierre
10130 12560	Maarten van Steen
624 12576	Yugyung Lee
4848 12583	Yong Wang
3169 12609	Zahir Tari
9269 12626	Zhimin Chen
2840 12630	Mu Su
2841 12631	Chi-Hung Chi
3432 12638	Qing Li
5577 12689	Deepak Ramachandran
1398 12692	Vikas Krishna
993 12693	Savitha Srinivasan
6438 12694	Wei Zhao
227 12729	Jayant Kalagnanam
2155 12744	Zhao Xu
1283 12772	Hakan Hacig¨¹m¨¹s
1401 12803	K. Krishna
1082 12816	Mao Chen
9085 12827	Prateek Jain
12 12831	Giuseppe De Giacomo
9129 12832	Massimo Mecella
8345 12837	Opher Etzion
2599 12874	Cesare Pautasso
2526 12875	Gustavo Alonso
283 12877	Martin Brooks
13 12891	Riccardo Rosati
9908 12971	Christina Tziviskou
8868 12977	Chun Zhang
3463 12978	Chang-Shing Perng
245 12998	Prashant Doshi
751 13079	Biplav Srivastava
3383 13095	Brian F. Cooper
1067 13101	Yi Chen
9418 13107	Dirk Habich
3583 13125	Nabil R. Adam
8448 13126	Christof Bornh?vd
4233 13134	Andrei L. Turinsky
2408 13148	Fabio Casati
6313 13152	Anuradha Bhamidipaty
10032 13153	Rohit Lotlikar
6523 13189	Lu Zhang
4898 13209	Jun Zhu
9793 13226	Marco Vieira
3504 13235	Chen Li
3369 13236	Manfred Reichert
2552 13239	Yuan-Chi Chang
1088 13240	George A. Mihaila
4627 13241	David Cohn
2521 13250	Timos K. Sellis
3183 13276	Wolfgang Lehner
5051 13287	Mark Brodie
5364 13290	Jin-Kao Hao
4603 13298	Teruo Koyanagi
9853 13300	Liangzhao Zeng
1493 13319	Jun Yan
1697 13322	Lakshmish Ramaswamy
9794 13364	Henrique Madeira
9160 13371	Mourad Ouzzani
1399 13377	Prasad M. Deshpande
4202 13379	Huiming Qu
3424 13380	Jimeng Sun
3673 13401	Hasan Davulcu
1041 13407	Bhuvan Bamba
850 13430	Jie Yin
3818 13443	Vasant Honavar
8780 13451	German Shegalov
1767 13452	Gerhard Weikum
4578 13477	Kaizhu Huang
3798 13485	Shantanu Godbole
10033 13486	Shourya Roy
8039 13548	Xing Wei
819 13549	Ruchi Mahindru
3754 13633	Chenyi Hu
796 13676	Ewa Deelman
2783 13713	Andrew Rau-Chaplin
9661 13752	Carmen Constantinescu
9662 13755	Uwe Heinkel
2415 13770	Ernesto Damiani
9901 13772	Stefano Paraboschi
2739 13801	Ajay Gupta
2997 13825	Xin Li
1913 13848	Le Gruenwald
562 13897	Milind Tambe
3270 13945	Neeraj Mittal
4126 13988	Baoying Wang
687 14080	Virgil Andronache
1296 14095	Min Song
4845 14112	Tao Wang
3219 14117	Jian Xu
10134 14126	Bhuvan Urgaonkar
8589 14127	Prashant J. Shenoy
1584 14180	Panos K. Chrysanthis
2453 14185	Robert Laurini
8701 14197	Biao Chen
3225 14235	Witold Litwin
9440 14236	Tore Risch
1715 14252	Kirk Scott
5280 14390	Ullrich Hustadt
6508 14408	Sadok Ben Yahia
6509 14480	Yahya Slimani
1349 14481	Maarten Marx
4261 14490	Ivo D¨¹ntsch
7186 14510	Claudio Guti¨¦rrez
5212 14511	Petr H¨¢jek
5130 14572	Andrzej Szalas
7224 14573	Jerzy Tyszkiewicz
3904 14692	Hong Shen
7806 14960	Xiao Hu
7678 14981	Li Wang
3982 14991	Kun Deng
2270 15009	Susumu Horiguchi
8214 15083	Li Tao
1 15138	Franz Baader
2 15139	Carsten Lutz
3 15140	Maja Milicic
4 15141	Ulrike Sattler
5 15142	Frank Wolter
5638 15144	Alexander Borgida
7 15150	Anbulagan
8 15151	Duc Nghia Pham
9 15152	John K. Slaney
10 15153	Abdul Sattar
4047 15157	Bruce G. Buchanan
7380 15167	John R. Kender
690 15168	David Anderson
648 15170	Neal Lesh
272 15182	Richard E. Korf
5691 15197	Mary Berna
4934 15200	Alon Altman
130 15201	Moshe Tennenholtz
14 15203	Andrea Acciarri
15 15204	Diego Calvanese
16 15205	Domenico Lembo
17 15206	Maurizio Lenzerini
